,h,b,t,A,m,r_1,r_2,c_y,c_z,I_y,I_z,I_u,I_v,i_y,i_z,i_u,i_v,W_ely,W_elz,I_T,tan_alpha
,mm,mm,mm,mm2,kg/m,mm,mm,mm,mm,mm4,mm4,mm4,mm4,mm,mm,mm,mm,mm3,mm3,mm4,
L100x50x8,100,50,8,1140,8.97,8,4,36,11.3,1160000,197000,1230000,128000,31.9,13.1,32.8,10.6,18200,5080,26100,0.258
L100x65x7,100,65,7,1120,8.77,10,5,32.3,15.1,1130000,376000,1280000,220000,31.7,18.3,33.9,14,16600,7530,20200,0.415
L100x65x8,100,65,8,1270,9.94,10,5,32.7,15.5,1270000,422000,1440000,248000,31.6,18.2,33.7,14,18900,8540,29600,0.413
L100x65x10,100,65,10,1560,12.3,10,5,33.6,16.3,1540000,510000,1750000,301000,31.4,18.1,33.5,13.9,23200,10500,56100,0.41
L100x75x8,100,75,8,1350,10.6,10,5,31,18.7,1330000,641000,1620000,346000,31.4,21.8,34.7,16,19300,11400,31300,0.547
L100x75x10,100,75,10,1660,13,10,5,31.9,19.5,1620000,776000,1970000,422000,31.2,21.6,34.5,15.9,23800,14000,59500,0.544
L100x75x12,100,75,12,1970,15.4,10,5,32.7,20.3,1890000,902000,2300000,495000,31,21.4,34.2,15.9,28000,16500,100000,0.54
L125x75x8,125,75,8,1550,12.2,11,5.5,41.4,16.8,2470000,676000,2740000,409000,40,20.9,42.1,16.3,29600,11600,36200,0.36
L125x75x10,125,75,10,1910,15,11,5.5,42.3,17.6,3020000,821000,3340000,499000,39.7,20.7,41.8,16.1,36500,14300,68700,0.357
L125x75x12,125,75,12,2270,17.8,11,5.5,43.1,18.4,3540000,955000,3910000,585000,39.5,20.5,41.5,16.1,43200,16900,116000,0.354
L150x75x10,150,75,10,2170,17,12,6,53.1,16.1,5010000,856000,5310000,551000,48.1,19.9,49.5,16,51600,14500,78000,0.261
L150x75x12,150,75,12,2570,20.2,12,6,54,16.9,5880000,996000,6230000,647000,47.8,19.7,49.2,15.9,61300,17100,132000,0.258
L150x75x15,150,75,15,3170,24.8,12,6,55.2,18.1,7130000,1190000,7530000,786000,47.5,19.4,48.8,15.8,75200,21000,251000,0.253
L150x90x10,150,90,10,2320,18.2,12,6,50,20.4,5330000,1460000,5910000,883000,48,25.1,50.5,19.5,53300,21000,83000,0.36
L150x90x12,150,90,12,2750,21.6,12,6,50.8,21.2,6270000,1710000,6940000,1040000,47.7,24.9,50.2,19.4,63300,24800,141000,0.358
L150x90x15,150,90,15,3390,26.6,12,6,52.1,22.3,7610000,2050000,8410000,1260000,47.4,24.6,49.8,19.3,77700,30400,268000,0.354
L200x100x10,200,100,10,2920,23,15,7.5,69.3,20.1,12200000,2100000,12900000,1350000,64.6,26.8,66.5,21.5,93200,26300,107000,0.263
L200x100x12,200,100,12,3480,27.3,15,7.5,70.3,21,14400000,2470000,15300000,1590000,64.3,26.6,66.3,21.4,111000,31300,180000,0.262
L200x100x15,200,100,15,4300,33.8,15,7.5,71.6,22.2,17600000,2990000,18600000,1930000,64,26.4,65.9,21.2,137000,38500,343000,0.26
L200x15x12,200,15,12,4080,32,15,7.5,60.8,36.1,16500000,8030000,20300000,4300000,63.6,44.4,70.4,32.5,119000,70500,209000,0.552
L200x150x15,200,150,15,5050,39.6,15,7.5,62.1,37.3,20200000,9790000,24800000,5260000,63.3,44,70,32.3,147000,86900,399000,0.551
L200x150x18,200,150,18,6010,47.1,15,7.5,63.3,38.5,23800000,11500000,29200000,6230000,62.9,43.7,69.7,32.2,174000,103000,679000,0.549
