,h,b,tw,tf,r,m,P,A,Avz,Avy,Iy,iy,Wely,Wply,Iz,iz,Welz,Wplz,IT,WT,Iw,Ww
,mm,mm,mm,mm,mm,kg/m,m,mm2,mm2,mm2,mm4,mm,mm3,mm3,mm4,mm4,mm3,mm3,mm4,mm3,mm6,mm4
UB457x152x82,466,155,10.5,18.9,13,82.4,1.51,10503,5393,5870,368100000,187.2,1580000,1822000,11850000,33.6,152600,240800,920000,87620,5.92E+11,34120000
UB457x191x67,453,190,8.5,12.7,13,67.5,1.628,8600,4366,4823,296000000,185.5,1306000,1481000,14520000,41.1,153000,237700,387000,45530,7.05E+11,33700000
UB457x191x74,457,190,9,14.5,13,74.7,1.636,9512,4622,5522,335400000,187.8,1468000,1663000,16720000,41.9,175600,272500,536000,59560,8.18E+11,38840000
UB457x191x82,460,191,9.9,16,13,82.4,1.644,10497,5085,6122,372700000,188.4,1620000,1842000,18710000,42.2,195600,304300,714000,72120,9.22E+11,43420000
UB457x191x89,463,192,10.5,17.7,13,89.7,1.652,11426,5393,6793,412300000,190,1780000,2024000,20900000,42.8,217800,338800,933000,88860,1.04E+12,48640000
UB457x191x98,467,193,11.4,19.6,13,98.7,1.661,12575,5855,7558,459400000,191.1,1967000,2243000,23480000,43.2,243500,379400,1240000,108800,1.18E+12,54690000
UB457x191x106,469,194,12.6,20.6,13,106.2,1.667,13524,6471,7993,490900000,190.5,2093000,2399000,25150000,43.1,259300,405900,1490000,118300,1.27E+12,58370000
UB457x191x133,481,197,15.3,26.3,13,133.7,1.696,17033,7858,10346,640600000,193.9,2666000,3080000,33500000,44.3,340700,535300,2980000,194800,1.73E+12,77440000
UB457x191x161,492,199,18,32,13,161.7,1.724,20604,9245,12762,800000000,197,3252000,3789000,42510000,45.4,426400,672500,5240000,291100,2.25E+12,98120000
UB460x280x113,463,280,10.8,17.3,20,115.1,1.99,14658,5849,9688,567200000,196.7,2450000,2727000,63380000,65.8,452700,694000,1320000,122200,3.15E+12,101000000
UB460x280x128,467,282,12.2,19.6,20,130.4,2.003,16617,6586,11054,648200000,197.5,2776000,3103000,73370000,66.4,520300,798900,1890000,154900,3.67E+12,116400000
UB460x280x144,472,283,13.6,22.1,20,146.6,2.014,18670,7346,12509,737300000,198.7,3124000,3508000,83620000,66.9,591000,908600,2660000,195600,4.23E+12,132900000
UB460x280x158,476,284,15,23.9,20,159.7,2.024,20342,8081,13575,807600000,199.2,3393000,3828000,91420000,67,643800,992000,3370000,224700,4.67E+12,145500000
UB460x280x177,482,286,16.6,26.9,20,179.3,2.04,22838,8974,15387,921300000,200.9,3823000,4334000,105100000,67.8,735000,1134000,4730000,284900,5.44E+12,167200000
UB460x280x193,489,283,17,30.5,20,195.3,2.042,24882,9358,17263,1035000000,203.9,4232000,4808000,115500000,68.1,815900,1257000,6410000,377100,6.07E+12,187100000
UB460x280x213,495,285,18.5,33.5,20,214.7,2.059,27356,10221,19095,1154000000,205.4,4664000,5325000,129500000,68.8,909100,1402000,8430000,455700,6.90E+12,209800000
UB460x280x235,501,287,20.6,36.6,20,236.8,2.074,30164,11374,21008,1285000000,206.4,5128000,5893000,144600000,69.2,1008000,1558000,11060000,536900,7.80E+12,234100000
UB460x280x260,509,289,22.6,40.4,20,262,2.094,33372,12550,23351,1448000000,208.3,5690000,6579000,163000000,69.9,1128000,1747000,14790000,654400,8.95E+12,264400000
UB460x280x286,517,291,24.4,44.4,20,287.6,2.115,36632,13651,25841,1622000000,210.4,6274000,7297000,183000000,70.7,1258000,1949000,19420000,795900,1.02E+13,296700000
UB460x280x315,525,293,26.9,48.5,20,316.2,2.134,40278,15101,28421,1810000000,212,6894000,8075000,204100000,71.2,1393000,2165000,25370000,943100,1.16E+13,332300000
UB533x165x66,525,165,8.9,11.4,13,65.7,1.67,8370,5360,3764,350300000,204.6,1335000,1561000,8588000,32,104000,166300,320000,35960,5.66E+11,26720000
UB533x165x74,529,166,9.7,13.6,13,74.7,1.681,9519,5842,4512,410600000,207.7,1552000,1808000,10400000,33,125300,200000,479000,49380,6.91E+11,32320000
UB533x165x85,535,166,10.3,16.5,13,84.8,1.693,10803,6203,5494,486300000,212.2,1818000,2107000,12750000,34.4,153100,243100,738000,71650,8.57E+11,39720000
UB533x210x82,528,209,9.6,13.2,13,82.2,1.851,10469,5782,5512,475400000,213.1,1800000,2059000,20070000,43.8,192300,300400,515000,53650,1.33E+12,49460000
UB533x210x92,533,209,10.1,15.6,13,92.1,1.861,11738,6083,6530,552300000,216.9,2072000,2360000,23890000,45.1,228300,355600,757000,74950,1.60E+12,59090000
UB533x210x101,537,210,10.8,17.4,13,101,1.87,12867,6505,7308,615200000,218.7,2292000,2612000,26920000,45.7,256400,399400,1010000,93520,1.81E+12,66390000
UB533x210x109,540,211,11.6,18.8,13,109,1.877,13887,6986,7926,668200000,219.4,2477000,2828000,29430000,46,279200,435800,1260000,108600,1.99E+12,72520000
UB533x210x122,544,212,12.7,21.3,13,122,1.889,15540,7649,9027,760400000,221.2,2793000,3196000,33880000,46.7,319700,499700,1780000,140200,2.32E+12,83700000
UB533x210x138,549,214,14.7,23.6,13,138.3,1.903,17612,8854,10096,860900000,221.1,3136000,3613000,38640000,46.8,361300,568400,2500000,170100,2.67E+12,95010000
UB533x312x150,542,312,12.7,20.3,13,150.6,2.286,19180,7649,12667,1006000000,229.1,3710000,4142000,102900000,73.2,659300,1010000,2160000,170100,7.01E+12,172100000
UB533x312x165,546,313,14,22.2,13,165.3,2.294,21058,8427,13897,1110000000,229.5,4064000,4555000,113600000,73.4,725800,1113000,2830000,202100,7.79E+12,190100000
UB533x312x182,551,314,15.2,24.4,13,181.5,2.307,23115,9155,15348,1232000000,230.9,4475000,5030000,126700000,74,805500,1237000,3730000,245400,8.77E+12,211900000
UB533x312x196,554,316,16.5,26.3,13,196.5,2.317,25033,9928,16622,1340000000,231.4,4837000,5457000,138500000,74.4,876700,1349000,4700000,284800,9.64E+12,231200000
UB533x312x219,560,317,18.3,29.2,13,218.7,2.332,27859,11022,18536,1510000000,232.8,5389000,6109000,155900000,74.8,982300,1515000,6420000,350800,1.10E+13,261000000
UB533x312x248,571,315,19,34.5,13,246.6,2.342,31411,11446,21735,1775000000,237.7,6217000,7062000,180000000,75.7,1143000,1759000,9770000,514200,1.30E+13,307700000
UB533x312x272,577,320,21.1,37.6,13,273.2,2.371,34808,12708,24079,1986000000,238.9,6882000,7858000,206100000,77,1288000,1985000,12880000,610400,1.50E+13,347300000
UB610x178x82,599,178,10,12.8,20,83.4,1.854,10628,6876,4554,574900000,232.6,1921000,2252000,12090000,33.7,136000,220100,570000,57000,1.04E+12,39920000
UB610x178x92,603,179,10.9,15,20,93.8,1.865,11953,7495,5364,661900000,235.3,2196000,2569000,14390000,34.7,161000,260200,810000,74310,1.24E+12,47180000
UB610x178x100,607,179,11.3,17.2,20,101.9,1.875,12983,7770,6164,741500000,239,2441000,2844000,16610000,35.8,185300,297900,1070000,94690,1.45E+12,54840000
UB610x229x101,603,228,10.5,14.8,20,102.8,2.06,13097,7220,6737,774000000,243.1,2569000,2939000,29170000,47.2,256400,402500,867000,82570,2.52E+12,75350000
UB610x229x113,608,228,11.1,17.3,20,114.6,2.071,14599,7632,7896,889400000,246.8,2927000,3338000,34370000,48.5,301200,471500,1230000,110800,2.99E+12,88790000
UB610x229x125,612,229,11.9,19.6,20,126.7,2.082,16139,8182,8977,1002000000,249.2,3274000,3733000,39350000,49.4,343700,537800,1680000,141200,3.45E+12,101700000
UB610x229x140,617,230,13.1,22.1,20,141.5,2.095,18025,9023,10175,1134000000,250.8,3674000,4200000,45090000,50,391700,613900,2330000,177900,3.99E+12,116500000
UB610x305x149,612,305,11.8,19.7,20,150,2.386,19114,8125,12009,1267000000,257.5,4139000,4624000,93090000,69.8,610900,938600,2080000,176300,8.18E+12,181100000
UB610x305x179,620,307,14.1,23.6,20,179.9,2.406,22918,9699,14495,1539000000,259.1,4962000,5578000,114100000,70.6,743100,1145000,3510000,248900,1.02E+13,222700000
UB610x305x238,636,311,18.4,31.4,20,239,2.446,30442,12720,19556,2103000000,262.9,6616000,7517000,158400000,72.1,1017000,1576000,8030000,436400,1.45E+13,308200000
UB610x324x155,611,324,12.7,19,20,156.5,2.458,19932,8733,12312,1306000000,255.9,4273000,4784000,107800000,73.6,665700,1024000,2100000,165400,9.45E+12,197100000
UB610x324x174,616,325,14,21.6,20,175.9,2.47,22403,9623,14040,1487000000,257.7,4829000,5418000,123800000,74.3,761600,1173000,2980000,212900,1.09E+13,225700000
UB610x324x195,622,327,15.4,24.4,20,197.3,2.487,25128,10593,15958,1695000000,259.7,5449000,6130000,142400000,75.3,871100,1343000,4180000,271400,1.27E+13,260000000
UB610x324x217,628,328,16.5,27.7,20,219.5,2.501,27962,11356,18171,1924000000,262.3,6126000,6903000,163200000,76.4,995000,1533000,5860000,355200,1.47E+13,298600000
UB610x324x241,635,329,17.9,31,20,243.3,2.516,30998,12395,20398,2170000000,264.6,6835000,7726000,184300000,77.1,1121000,1728000,8020000,448000,1.68E+13,338200000
UB610x324x262,641,327,19,34,20,262.7,2.518,33466,13236,22236,2376000000,266.4,7412000,8405000,198500000,77,1214000,1874000,10280000,541100,1.83E+13,368800000
UB610x324x285,647,329,20.6,37.1,20,287,2.534,36555,14391,24412,2623000000,267.9,8108000,9231000,220700000,77.7,1342000,2074000,13290000,645100,2.05E+13,408700000
UB610x324x307,653,330,22.1,39.9,20,308.9,2.547,39345,15489,26334,2852000000,269.3,8736000,9985000,239600000,78,1452000,2248000,16460000,744800,2.25E+13,444800000
UB610x324x341,661,333,24.4,43.9,20,342,2.571,43567,17157,29237,3198000000,271,9678000,11120000,271000000,78.9,1627000,2525000,21960000,900000,2.58E+13,502200000
UB610x324x372,669,335,26.4,48,20,373.9,2.591,47631,18658,32160,3548000000,272.9,10610000,12250000,301800000,79.6,1802000,2799000,28500000,1080000,2.91E+13,559500000
UB686x254x125,678,253,11.7,16.2,20,126.3,2.31,16093,9063,8197,1194000000,272.4,3524000,4040000,43850000,52.2,346700,544100,1240000,106000,4.80E+12,114700000
UB686x254x140,684,254,12.4,19,20,141.2,2.323,17988,9605,9641,1377000000,276.7,4030000,4604000,51860000,53.7,408800,639900,1790000,144400,5.72E+12,135700000
UB686x254x152,688,254,13.2,21,20,153.5,2.332,19553,10225,10689,1518000000,278.6,4416000,5046000,57860000,54.4,454700,712000,2310000,175000,6.43E+12,151600000
UB686x254x170,693,256,14.5,23.7,20,171.4,2.346,21828,11232,12125,1718000000,280.5,4958000,5677000,66330000,55.1,518600,813300,3220000,222100,7.43E+12,173600000
UB762x267x134,750,264,12,15.5,20,134.8,2.499,17168,10354,8196,1521000000,297.6,4055000,4683000,47900000,52.8,362300,571300,1250000,104200,6.46E+12,133100000
UB762x267x147,754,265,12.8,17.5,20,147.8,2.509,18829,11044,9282,1699000000,300.4,4506000,5194000,54570000,53.8,411600,648600,1660000,129700,7.40E+12,151500000
UB762x267x161,758,266,13.8,19.3,20,161.2,2.518,20539,11913,10268,1873000000,301.9,4941000,5700000,60750000,54.4,456800,720900,2150000,155800,8.29E+12,168800000
UB762x267x173,762,267,14.3,21.6,20,173.9,2.528,22147,12338,11521,2067000000,305.5,5422000,6236000,68520000,55.6,513800,808900,2770000,193700,9.40E+12,190400000
UB762x267x185,766,267,14.9,23.6,20,185.7,2.536,23656,12852,12602,2241000000,307.8,5852000,6724000,75120000,56.4,562700,885200,3430000,230200,1.04E+13,209900000
UB762x267x197,770,268,15.6,25.4,20,197.6,2.546,25174,13460,13614,2413000000,309.6,6270000,7205000,81770000,57,610200,960100,4170000,267300,1.13E+13,226600000
UB838x292x176,835,292,14,18.8,20,176.4,2.774,22473,13395,10968,2471000000,331.6,5920000,6836000,78000000,58.9,534800,842800,2270000,162100,1.30E+13,218400000
UB838x292x194,841,292,14.7,21.7,20,194.3,2.787,24754,14064,12690,2803000000,336.5,6668000,7668000,90680000,60.5,620200,974800,3120000,212200,1.52E+13,253900000
UB838x292x210,846,293,15.4,24.4,20,211.3,2.799,26919,14732,14298,3117000000,340.3,7369000,8456000,102600000,61.7,700300,1099000,4130000,268200,1.73E+13,287500000
UB838x292x226,851,294,16.1,26.8,20,227.1,2.81,28928,15404,15748,3408000000,343.2,8010000,9183000,113600000,62.7,773400,1213000,5220000,324200,1.93E+13,318800000
UB914x305x201,903,303,15.1,20.2,19,200.9,2.956,25592,15630,12253,3253000000,356.5,7204000,8351000,94230000,60.7,621400,982000,2910000,192700,1.84E+13,274900000
UB914x305x224,910,304,15.9,23.9,19,224.2,2.973,28564,16458,14536,3764000000,363,8269000,9535000,112400000,62.7,739000,1163000,4220000,265400,2.21E+13,327900000
