,D,t,m,P,A,A_vz,A_vy,I_y,i_y,W_ely,W_ply,I_z,i_z,W_elz,W_plz,I_T,W_T,manufacture
,[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm2],[mm4],[mm],[mm3],[mm3],[mm4],[mm],[mm3],[mm3],[mm4],[mm3],
CHS114.3x4,114.3,4,10.9,0.359,1386,882,882,2111000,39,36930,48690,2111000,39,36930,48690,4221000,73860,cold
CHS114.3x5,114.3,5,13.5,0.359,1717,1093,1093,2569000,38.7,44960,59770,2569000,38.7,44960,59770,5138000,89910,cold
CHS114.3x6,114.3,6,16,0.359,2041,1300,1300,3002000,38.3,52530,70450,3002000,38.3,52530,70450,6004000,105100,cold
CHS114.3x6.3,114.3,6.3,16.8,0.359,2138,1361,1361,3127000,38.2,54720,73570,3127000,38.2,54720,73570,6254000,109400,cold
CHS114.3x8,114.3,8,21,0.359,2672,1701,1701,3795000,37.7,66400,90570,3795000,37.7,66400,90570,7590000,132800,cold
CHS139.7x3,139.7,3,10.1,0.439,1288,820,820,3011000,48.3,43110,56070,3011000,48.3,43110,56070,6022000,86210,cold
CHS139.7x4,139.7,4,13.4,0.439,1705,1086,1086,3929000,48,56240,73680,3929000,48,56240,73680,7857000,112500,cold
CHS139.7x5,139.7,5,16.6,0.439,2116,1347,1347,4805000,47.7,68800,90760,4805000,47.7,68800,90760,9611000,137600,cold
CHS139.7x6,139.7,6,19.8,0.439,2520,1604,1604,5643000,47.3,80780,107300,5643000,47.3,80780,107300,11290000,161600,cold
CHS139.7x6.3,139.7,6.3,20.7,0.439,2640,1681,1681,5886000,47.2,84270,112200,5886000,47.2,84270,112200,11770000,168500,cold
CHS139.7x8,139.7,8,26,0.439,3310,2107,2107,7203000,46.6,103100,138900,7203000,46.6,103100,138900,14410000,206200,cold
CHS139.7x10,139.7,10,32,0.439,4075,2594,2594,8619000,46,123400,168600,8619000,46,123400,168600,17240000,246800,cold
CHS168.3x3,168.3,3,12.2,0.529,1558,992,992,5323000,58.5,63250,81980,5323000,58.5,63250,81980,10650000,126500,cold
CHS168.3x4,168.3,4,16.2,0.529,2065,1314,1314,6971000,58.1,82840,108000,6971000,58.1,82840,108000,13940000,165700,cold
CHS168.3x5,168.3,5,20.1,0.529,2565,1633,1633,8558000,57.8,101700,133400,8558000,57.8,101700,133400,17120000,203400,cold
CHS168.3x6,168.3,6,24,0.529,3059,1948,1948,10090000,57.4,119900,158100,10090000,57.4,119900,158100,20170000,239700,cold
CHS168.3x6.3,168.3,6.3,25.2,0.529,3206,2041,2041,10530000,57.3,125200,165400,10530000,57.3,125200,165400,21070000,250400,cold
CHS168.3x8,168.3,8,31.6,0.529,4029,2565,2565,12970000,56.7,154200,205700,12970000,56.7,154200,205700,25950000,308300,cold
CHS168.3x10,168.3,10,39,0.529,4973,3166,3166,15640000,56.1,185900,250900,15640000,56.1,185900,250900,31280000,371700,cold
CHS177.8x4,177.8,4,17.1,0.559,2184,1390,1390,8251000,61.5,92810,120800,8251000,61.5,92810,120800,16500000,185600,cold
CHS177.8x5,177.8,5,21.3,0.559,2714,1728,1728,10140000,61.1,114100,149300,10140000,61.1,114100,149300,20280000,228100,cold
CHS177.8x6,177.8,6,25.4,0.559,3238,2062,2062,11960000,60.8,134600,177200,11960000,60.8,134600,177200,23920000,269100,cold
CHS177.8x6.3,177.8,6.3,26.6,0.559,3394,2161,2161,12500000,60.7,140600,185400,12500000,60.7,140600,185400,24990000,281100,cold
CHS177.8x8,177.8,8,33.5,0.559,4268,2717,2717,15410000,60.1,173400,230800,15410000,60.1,173400,230800,30830000,346800,cold
CHS177.8x10,177.8,10,41.4,0.559,5272,3356,3356,18620000,59.4,209400,281900,18620000,59.4,209400,281900,37240000,418900,cold
CHS177.8x12,177.8,12,49.1,0.559,6251,3979,3979,21590000,58.8,242900,330500,21590000,58.8,242900,330500,43180000,485700,cold
CHS177.8x12.5,177.8,12.5,51,0.559,6491,4132,4132,22300000,58.6,250800,342200,22300000,58.6,250800,342200,44600000,501600,cold
CHS193.7x4,193.7,4,18.7,0.609,2384,1518,1518,10730000,67.1,110800,144000,10730000,67.1,110800,144000,21460000,221500,cold
CHS193.7x5,193.7,5,23.3,0.609,2964,1887,1887,13200000,66.7,136300,178100,13200000,66.7,136300,178100,26400000,272600,cold
CHS193.7x6,193.7,6,27.8,0.609,3538,2252,2252,15600000,66.4,161000,211500,15600000,66.4,161000,211500,31190000,322100,cold
CHS193.7x6.3,193.7,6.3,29.1,0.609,3709,2361,2361,16300000,66.3,168300,221300,16300000,66.3,168300,221300,32600000,336600,cold
CHS193.7x8,193.7,8,36.6,0.609,4667,2971,2971,20160000,65.7,208100,276000,20160000,65.7,208100,276000,40310000,416200,cold
CHS193.7x10,193.7,10,45.3,0.609,5771,3674,3674,24420000,65,252100,337800,24420000,65,252100,337800,48830000,504200,cold
CHS193.7x12,193.7,12,53.8,0.609,6850,4361,4361,28390000,64.4,293200,396800,28390000,64.4,293200,396800,56780000,586300,cold
CHS193.7x12.5,193.7,12.5,55.9,0.609,7116,4530,4530,29340000,64.2,303000,411100,29340000,64.2,303000,411100,58690000,605900,cold
CHS219.1x4,219.1,4,21.2,0.688,2703,1721,1721,15640000,76.1,142800,185100,15640000,76.1,142800,185100,31280000,285500,cold
CHS219.1x5,219.1,5,26.4,0.688,3363,2141,2141,19280000,75.7,176000,229200,19280000,75.7,176000,229200,38560000,352000,cold
CHS219.1x6,219.1,6,31.5,0.688,4017,2557,2557,22820000,75.4,208300,272500,22820000,75.4,208300,272500,45640000,416600,cold
