,D,t,m,P,A,A_vz,A_vy,I_y,i_y,W_ely,W_ply,I_z,i_z,W_elz,W_plz,I_T,W_T,manufacture
,[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm2],[mm4],[mm],[mm3],[mm3],[mm4],[mm],[mm3],[mm3],[mm4],[mm3],
CHS813x16,813,16,314.5,2.554,40062,25504,25504,3182000000,281.8,7828000,10160000,3182000000,281.8,7828000,10160000,6364000000,15660000,cold
CHS813x20,813,20,391.1,2.554,49826,31720,31720,3919000000,280.5,9641000,12580000,3919000000,280.5,9641000,12580000,7838000000,19280000,cold
CHS813x25,813,25,485.8,2.554,61889,39400,39400,4809000000,278.7,11830000,15530000,4809000000,278.7,11830000,15530000,9617000000,23660000,cold
CHS813x30,813,30,579.3,2.554,73796,46980,46980,5664000000,277,13930000,18400000,5664000000,277,13930000,18400000,11330000000,27870000,cold
CHS914x8,914,8,178.7,2.871,22770,14496,14496,2337000000,320.3,5113000,6567000,2337000000,320.3,5113000,6567000,4673000000,10230000,cold
CHS914x10,914,10,222.9,2.871,28400,18080,18080,2901000000,319.6,6349000,8172000,2901000000,319.6,6349000,8172000,5803000000,12700000,cold
CHS914x12,914,12,266.9,2.871,34005,21648,21648,3459000000,318.9,7569000,9764000,3459000000,318.9,7569000,9764000,6918000000,15140000,cold
CHS914x12.5,914,12.5,277.9,2.871,35402,22538,22538,3597000000,318.8,7871000,10160000,3597000000,318.8,7871000,10160000,7194000000,15740000,cold
CHS914x16,914,16,354.3,2.871,45138,28736,28736,4551000000,317.5,9959000,12900000,4551000000,317.5,9959000,12900000,9103000000,19920000,cold
CHS914x20,914,20,440.9,2.871,56172,35760,35760,5615000000,316.2,12290000,15990000,5615000000,316.2,12290000,15990000,11230000000,24570000,cold
CHS914x25,914,25,548.1,2.871,69822,44450,44450,6903000000,314.4,15110000,19760000,6903000000,314.4,15110000,19760000,13810000000,30210000,cold
CHS914x30,914,30,654,2.871,83315,53040,53040,8148000000,312.7,17830000,23450000,8148000000,312.7,17830000,23450000,16300000000,35660000,cold
CHS1016x8,1016,8,198.9,3.192,25334,16128,16128,3218000000,356.4,6334000,8129000,3218000000,356.4,6334000,8129000,6436000000,12670000,cold
CHS1016x10,1016,10,248.1,3.192,31604,20120,20120,3998000000,355.7,7871000,10120000,3998000000,355.7,7871000,10120000,7997000000,15740000,cold
CHS1016x12,1016,12,297.1,3.192,37850,24096,24096,4770000000,355,9389000,12100000,4770000000,355,9389000,12100000,9540000000,18780000,cold
CHS1016x12.5,1016,12.5,309.3,3.192,39407,25088,25088,4961000000,354.8,9766000,12590000,4961000000,354.8,9766000,12590000,9922000000,19530000,cold
CHS1016x16,1016,16,394.6,3.192,50265,32000,32000,6285000000,353.6,12370000,16000000,6285000000,353.6,12370000,16000000,12570000000,24740000,cold
CHS1016x20,1016,20,491.3,3.192,62581,39840,39840,7763000000,352.2,15280000,19840000,7763000000,352.2,15280000,19840000,15530000000,30560000,cold
CHS1016x25,1016,25,611,3.192,77833,49550,49550,9561000000,350.5,18820000,24560000,9561000000,350.5,18820000,24560000,19120000000,37640000,cold
CHS1016x30,1016,30,729.5,3.192,92928,59160,59160,11300000000,348.8,22250000,29170000,11300000000,348.8,22250000,29170000,22610000000,44500000,cold
CHS1067x10,1067,10,260.7,3.352,33207,21140,21140,4638000000,373.7,8693000,11170000,4638000000,373.7,8693000,11170000,9276000000,17390000,cold
CHS1067x12,1067,12,312.2,3.352,39773,25320,25320,5534000000,373,10370000,13360000,5534000000,373,10370000,13360000,11070000000,20750000,cold
CHS1067x12.5,1067,12.5,325.1,3.352,41410,26362,26362,5757000000,372.8,10790000,13900000,5757000000,372.8,10790000,13900000,11510000000,21580000,cold
CHS1067x16,1067,16,414.7,3.352,52829,33632,33632,7296000000,371.6,13680000,17670000,7296000000,371.6,13680000,17670000,14590000000,27350000,cold
CHS1067x20,1067,20,516.4,3.352,65785,41880,41880,9018000000,370.2,16900000,21930000,9018000000,370.2,16900000,21930000,18040000000,33810000,cold
CHS1067x25,1067,25,642.4,3.352,81838,52100,52100,11110000000,368.5,20830000,27150000,11110000000,368.5,20830000,27150000,22230000000,41660000,cold
CHS1067x30,1067,30,767.2,3.352,97735,62220,62220,13150000000,366.8,24650000,32270000,13150000000,366.8,24650000,32270000,26300000000,49290000,cold
CHS1168x10,1168,10,285.6,3.669,36380,23160,23160,6098000000,409.4,10440000,13410000,6098000000,409.4,10440000,13410000,12200000000,20890000,cold
CHS1168x12,1168,12,342.1,3.669,43580,27744,27744,7281000000,408.7,12470000,16040000,7281000000,408.7,12470000,16040000,14560000000,24930000,cold
CHS1168x12.5,1168,12.5,356.2,3.669,45376,28888,28888,7574000000,408.6,12970000,16690000,7574000000,408.6,12970000,16690000,15150000000,25940000,cold
CHS1168x16,1168,16,454.6,3.669,57906,36864,36864,9608000000,407.3,16450000,21240000,9608000000,407.3,16450000,21240000,19220000000,32900000,cold
CHS1168x20,1168,20,566.2,3.669,72131,45920,45920,11890000000,405.9,20350000,26360000,11890000000,405.9,20350000,26360000,23770000000,40710000,cold
CHS1168x25,1168,25,704.7,3.669,89771,57150,57150,14670000000,404.2,25120000,32670000,14670000000,404.2,25120000,32670000,29330000000,50230000,cold
CHS1219x10,1219,10,298.2,3.83,37982,24180,24180,6940000000,427.5,11390000,14620000,6940000000,427.5,11390000,14620000,13880000000,22770000,cold
CHS1219x12,1219,12,357.2,3.83,45503,28968,28968,8287000000,426.8,13600000,17480000,8287000000,426.8,13600000,17480000,16570000000,27190000,cold
CHS1219x12.5,1219,12.5,371.9,3.83,47379,30162,30162,8622000000,426.6,14150000,18200000,8622000000,426.6,14150000,18200000,17240000000,28290000,cold
CHS1219x16,1219,16,474.7,3.83,60469,38496,38496,10940000000,425.4,17950000,23160000,10940000000,425.4,17950000,23160000,21880000000,35900000,cold
CHS1219x20,1219,20,591.4,3.83,75335,47960,47960,13540000000,424,22220000,28750000,13540000000,424,22220000,28750000,27080000000,44430000,cold
CHS1219x25,1219,25,736.1,3.83,93777,59700,59700,16720000000,422.2,27430000,35650000,16720000000,422.2,27430000,35650000,33440000000,54860000,cold
CHS21.3x2.3,21.3,2.3,1.08,0.067,137,87,87,6286,6.8,590.2,834.4,6286,6.8,590.2,834.4,12570,1180,hot
CHS21.3x2.6,21.3,2.6,1.2,0.067,153,97,97,6806,6.7,639,915.1,6806,6.7,639,915.1,13610,1278,hot
CHS21.3x3.2,21.3,3.2,1.43,0.067,182,116,116,7684,6.5,721.5,1059,7684,6.5,721.5,1059,15370,1443,hot
CHS26.9x2.3,26.9,2.3,1.4,0.085,178,113,113,13560,8.7,1008,1396,13560,8.7,1008,1396,27130,2017,hot
CHS26.9x2.6,26.9,2.6,1.56,0.085,198,126,126,14820,8.6,1102,1541,14820,8.6,1102,1541,29640,2203,hot
CHS26.9x3.2,26.9,3.2,1.87,0.085,238,152,152,17030,8.5,1266,1808,17030,8.5,1266,1808,34070,2533,hot
CHS33.7x2.6,33.7,2.6,1.99,0.106,254,162,162,30930,11,1835,2521,30930,11,1835,2521,61850,3671,hot
CHS33.7x3.2,33.7,3.2,2.41,0.106,307,195,195,36050,10.8,2139,2988,36050,10.8,2139,2988,72090,4279,hot
CHS33.7x4,33.7,4,2.93,0.106,373,238,238,41900,10.6,2487,3550,41900,10.6,2487,3550,83800,4973,hot
CHS42.4x2.6,42.4,2.6,2.55,0.133,325,207,207,64640,14.1,3049,4124,64640,14.1,3049,4124,129300,6099,hot
CHS42.4x3.2,42.4,3.2,3.09,0.133,394,251,251,76200,13.9,3594,4928,76200,13.9,3594,4928,152400,7189,hot
CHS48.3x2.6,48.3,2.6,2.93,0.152,373,238,238,97770,16.2,4048,5436,97770,16.2,4048,5436,195500,8097,hot
CHS48.3x3.2,48.3,3.2,3.56,0.152,453,289,289,115900,16,4797,6520,115900,16,4797,6520,231700,9595,hot
CHS60.3x2.6,60.3,2.6,3.7,0.189,471,300,300,196500,20.4,6519,8662,196500,20.4,6519,8662,393100,13040,hot
CHS60.3x3.2,60.3,3.2,4.51,0.189,574,365,365,234700,20.2,7784,10440,234700,20.2,7784,10440,469400,15570,hot
CHS76.1x2.6,76.1,2.6,4.71,0.239,600,382,382,405900,26,10670,14050,405900,26,10670,14050,811800,21340,hot
CHS76.1x3.2,76.1,3.2,5.75,0.239,733,467,467,487800,25.8,12820,17020,487800,25.8,12820,17020,975600,25640,hot
CHS88.9x3.2,88.9,3.2,6.76,0.279,862,548,548,792100,30.3,17820,23510,792100,30.3,17820,23510,1584000,35640,hot
CHS101.6x3.2,101.6,3.2,7.77,0.319,989,630,630,1199000,34.8,23590,31000,1199000,34.8,23590,31000,2397000,47190,hot
CHS101.6x8,101.6,8,18.5,0.319,2352,1498,1498,2595000,33.2,51080,70260,2595000,33.2,51080,70260,5190000,102200,hot
CHS101.6x10,101.6,10,22.6,0.319,2878,1832,1832,3054000,32.6,60120,84240,3054000,32.6,60120,84240,6108000,120200,hot
CHS114.3x3.2,114.3,3.2,8.77,0.359,1117,711,711,1725000,39.3,30180,39510,1725000,39.3,30180,39510,3449000,60360,hot
CHS114.3x10,114.3,10,25.7,0.359,3277,2086,2086,4497000,37,78680,109100,4497000,37,78680,109100,8993000,157400,hot
CHS139.7x12.5,139.7,12.5,39.2,0.439,4995,3180,3180,10200000,45.2,146000,202900,10200000,45.2,146000,202900,20400000,292100,hot
CHS168.3x12.5,168.3,12.5,48,0.529,6118,3895,3895,18680000,55.3,222000,304100,18680000,55.3,222000,304100,37370000,444100,hot
CHS193.7x14.2,193.7,14.2,62.9,0.609,8008,5098,5098,32450000,63.7,335100,458500,32450000,63.7,335100,458500,64910000,670200,hot
CHS193.7x16,193.7,16,70.1,0.609,8932,5686,5686,35540000,63.1,367000,506600,35540000,63.1,367000,506600,71090000,734000,hot
CHS219.1x14.2,219.1,14.2,71.8,0.688,9141,5819,5819,48200000,72.6,440000,597100,48200000,72.6,440000,597100,96400000,880000,hot
CHS219.1x16,219.1,16,80.1,0.688,10209,6499,6499,52970000,72,483500,661400,52970000,72,483500,661400,105900000,967000,hot
CHS219.1x20,219.1,20,98.2,0.688,12510,7964,7964,62610000,70.7,571500,795500,62610000,70.7,571500,795500,125200000,1143000,hot
CHS244.5x14.2,244.5,14.2,80.6,0.768,10274,6541,6541,68370000,81.6,559300,754100,68370000,81.6,559300,754100,136700000,1119000,hot
CHS244.5x16,244.5,16,90.2,0.768,11486,7312,7312,75330000,81,616200,836800,75330000,81,616200,836800,150700000,1232000,hot
CHS244.5x20,244.5,20,110.7,0.768,14106,8980,8980,89570000,79.7,732700,1011000,89570000,79.7,732700,1011000,179100000,1465000,hot
CHS244.5x25,244.5,25,135.3,0.768,17239,10975,10975,105200000,78.1,860300,1210000,105200000,78.1,860300,1210000,210300000,1721000,hot
CHS273x14.2,273,14.2,90.6,0.858,11545,7350,7350,96950000,91.6,710300,952000,96950000,91.6,710300,952000,193900000,1421000,hot
CHS273x16,273,16,101.4,0.858,12918,8224,8224,107100000,91,784400,1058000,107100000,91,784400,1058000,214100000,1569000,hot
CHS273x20,273,20,124.8,0.858,15896,10120,10120,128000000,89.7,937600,1283000,128000000,89.7,937600,1283000,256000000,1875000,hot
CHS273x25,273,25,152.9,0.858,19478,12400,12400,151300000,88.1,1108000,1543000,151300000,88.1,1108000,1543000,302500000,2216000,hot
CHS323.9x14.2,323.9,14.2,108.5,1.018,13816,8795,8795,166000000,109.6,1025000,1363000,166000000,109.6,1025000,1363000,332000000,2050000,hot
CHS323.9x16,323.9,16,121.5,1.018,15477,9853,9853,183900000,109,1136000,1518000,183900000,109,1136000,1518000,367800000,2271000,hot
CHS323.9x20,323.9,20,149.9,1.018,19095,12156,12156,221400000,107.7,1367000,1850000,221400000,107.7,1367000,1850000,442800000,2734000,hot
CHS323.9x25,323.9,25,184.3,1.018,23476,14945,14945,264000000,106,1630000,2239000,264000000,106,1630000,2239000,528000000,3260000,hot
CHS355.6x14.2,355.6,14.2,119.6,1.117,15230,9696,9696,222300000,120.8,1250000,1656000,222300000,120.8,1250000,1656000,444500000,2500000,hot
CHS355.6x25,355.6,25,203.8,1.117,25965,16530,16530,356800000,117.2,2007000,2738000,356800000,117.2,2007000,2738000,713500000,4013000,hot
CHS406.4x14.2,406.4,14.2,137.3,1.277,17496,11138,11138,336900000,138.8,1658000,2185000,336900000,138.8,1658000,2185000,673700000,3315000,hot
CHS406.4x30,406.4,30,278.5,1.277,35475,22584,22584,632200000,133.5,3111000,4259000,632200000,133.5,3111000,4259000,1264000000,6223000,hot
CHS406.4x40,406.4,40,361.4,1.277,46043,29312,29312,781900000,130.3,3848000,5391000,781900000,130.3,3848000,5391000,1564000000,7696000,hot
CHS457x14.2,457,14.2,155.1,1.436,19754,12576,12576,484600000,156.6,2121000,2785000,484600000,156.6,2121000,2785000,969300000,4242000,hot
CHS457x40,457,40,411.4,1.436,52402,33360,33360,1149000000,148.1,5031000,6977000,1149000000,148.1,5031000,6977000,2299000000,10060000,hot
CHS508x14.2,508,14.2,172.9,1.596,22029,14024,14024,672000000,174.7,2646000,3463000,672000000,174.7,2646000,3463000,1344000000,5291000,hot
CHS508x40,508,40,461.7,1.596,58811,37440,37440,1622000000,166.1,6385000,8782000,1622000000,166.1,6385000,8782000,3244000000,12770000,hot
CHS508x50,508,50,564.7,1.596,71942,45800,45800,1909000000,162.9,7515000,10530000,1909000000,162.9,7515000,10530000,3818000000,15030000,hot
CHS610x14.2,610,14.2,208.6,1.916,26579,16921,16921,1180000000,210.7,3869000,5042000,1180000000,210.7,3869000,5042000,2360000000,7738000,hot
CHS610x40,610,40,562.3,1.916,71628,45600,45600,2923000000,202,9585000,13020000,2923000000,202,9585000,13020000,5847000000,19170000,hot
CHS610x50,610,50,690.5,1.916,87965,56000,56000,3476000000,198.8,11400000,15720000,3476000000,198.8,11400000,15720000,6951000000,22790000,hot
CHS711x14.2,711,14.2,244,2.234,31085,19789,19789,1887000000,246.4,5309000,6895000,1887000000,246.4,5309000,6895000,3775000000,10620000,hot
CHS711x40,711,40,661.9,2.234,84320,53680,53680,4762000000,237.7,13400000,18030000,4762000000,237.7,13400000,18030000,9525000000,26790000,hot
CHS711x50,711,50,815.1,2.234,103830,66100,66100,5703000000,234.4,16040000,21890000,5703000000,234.4,16040000,21890000,11410000000,32090000,hot
CHS711x60,711,60,963.3,2.234,122711,78120,78120,6556000000,231.1,18440000,25500000,6556000000,231.1,18440000,25500000,13110000000,36880000,hot
CHS762x14.2,762,14.2,261.9,2.394,33360,21238,21238,2333000000,264.4,6123000,7942000,2333000000,264.4,6123000,7942000,4665000000,12250000,hot
CHS762x40,762,40,712.2,2.394,90729,57760,57760,5930000000,255.7,15560000,20870000,5930000000,255.7,15560000,20870000,11860000000,31130000,hot
CHS762x50,762,50,877.9,2.394,111841,71200,71200,7122000000,252.3,18690000,25390000,7122000000,252.3,18690000,25390000,14240000000,37390000,hot
CHS813x14.2,813,14.2,279.7,2.554,35635,22686,22686,2843000000,282.5,6994000,9062000,2843000000,282.5,6994000,9062000,5686000000,13990000,hot
CHS914x14.2,914,14.2,315.1,2.871,40141,25554,25554,4063000000,318.2,8892000,11500000,4063000000,318.2,8892000,11500000,8127000000,17780000,hot
CHS1016x14.2,1016,14.2,350.8,3.192,44691,28451,28451,5608000000,354.2,11040000,14250000,5608000000,354.2,11040000,14250000,11220000000,22080000,hot
CHS1067x14.2,1067,14.2,368.7,3.352,46966,29900,29900,6508000000,372.3,12200000,15740000,6508000000,372.3,12200000,15740000,13020000000,24400000,hot
CHS1168x14.2,1168,14.2,404.1,3.669,51472,32768,32768,8567000000,408,14670000,18900000,8567000000,408,14670000,18900000,17130000000,29340000,hot
CHS1219x14.2,1219,14.2,421.9,3.83,53747,34216,34216,9753000000,426,16000000,20610000,9753000000,426,16000000,20610000,19510000000,32000000,hot
