,h,b,t,ro,ri,m,P,A,"Av,z","Av,y",Iy,iy,"Wel,y","Wpl,y",Iz,iz,"Wel,z","Wpl,z",IT,WT,manufacture
,[mm],[mm],[mm],[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm2],[mm4],[mm],[mm3],[mm3],[mm4],[mm],[mm3],[mm3],[mm4],[mm3],
RHS160x80x6,160,80,6,12,6,20.7,459,2643,1762,881,8360000,56.2,104500,132300,2809000,32.6,70220,81310,7021000,122300,hot
RHS160x80x12,160,80,12,36,24,35.8,418,4566,3044,1522,11710000,50.6,146300,204000,3913000,29.3,97820,125000,11110000,182600,hot
RHS180x100x6,180,100,6,12,6,24.5,539,3123,2008,1115,13100000,64.8,145500,180800,5238000,41,104800,120200,12270000,178900,hot
RHS180x100x12,180,100,12,36,24,43.4,498,5526,3552,1974,19650000,59.6,218300,292400,7821000,37.6,156400,194200,20730000,284500,hot
RHS200x100x6,200,100,6,12,6,26.4,579,3363,2242,1121,17030000,71.2,170300,213300,5769000,41.4,115400,131500,14170000,200100,hot
RHS200x100x12,200,100,12,36,24,47.1,538,6006,4004,2002,26070000,65.9,260700,350000,8756000,38.2,175100,215300,24140000,321800,hot
RHS200x120x4,200,120,4,8,4,19.3,626,2455,1534,921,13530000,74.3,135300,163700,6177000,50.2,102900,115400,13450000,172500,hot
RHS200x120x5,200,120,5,10,5,23.8,623,3036,1897,1138,16490000,73.7,164900,200900,7501000,49.7,125000,141400,16520000,209900,hot
RHS200x120x6,200,120,6,12,6,28.3,619,3603,2252,1351,19290000,73.2,192900,236500,8743000,49.3,145700,166300,19470000,245100,hot
RHS200x120x12,200,120,12,36,24,50.9,578,6486,4054,2432,30310000,68.4,303100,395100,13680000,45.9,228000,277800,34190000,405700,hot
RHS250x150x5,250,150,5,10,5,30.1,783,3836,2397,1438,33040000,92.8,264300,319800,15080000,62.7,201100,225500,32850000,336900,hot
RHS250x150x6,250,150,6,12,6,35.8,779,4563,2852,1711,38860000,92.3,310800,378000,17680000,62.3,235800,266300,38860000,395600,hot
RHS250x150x12,250,150,12,36,24,66,738,8406,5254,3152,64580000,87.7,516600,658000,29250000,59,390000,463300,70880000,684400,hot
RHS260x180x5,260,180,5,10,5,33.2,863,4236,2503,1733,41210000,98.6,317000,377400,23500000,74.5,261100,294000,46950000,425900,hot
RHS260x180x12,260,180,12,36,24,73.5,818,9366,5534,3832,82450000,93.8,634200,789900,46790000,70.7,519900,614900,103300000,884400,hot
RHS300x100x6,300,100,6,12,6,35.8,779,4563,3422,1141,47770000,102.3,318500,411400,8424000,43,168500,187900,24030000,306200,hot
RHS300x100x6.3,300,100,6.3,15.8,9.4,37.2,773,4745,3559,1186,49070000,101.7,327100,424900,8681000,42.8,173600,194400,25150000,318300,hot
RHS300x100x8,300,100,8,20,12,46.5,766,5924,4443,1481,59780000,100.5,398500,523500,10450000,42,209000,238300,30800000,385200,hot
RHS300x100x10,300,100,10,25,15,57,757,7257,5442,1814,71060000,99,473700,630900,12240000,41.1,244900,285200,36810000,454500,hot
RHS300x100x12,300,100,12,36,24,66,738,8406,6304,2101,78080000,96.4,520600,710300,13430000,40,268600,320900,41770000,508500,hot
RHS300x100x12.5,300,100,12.5,37.5,25,68.3,736,8704,6528,2176,80100000,95.9,534000,731800,13740000,39.7,274800,330200,42920000,521200,hot
RHS300x100x16,300,100,16,48,32,83.8,718,10677,8008,2669,91570000,92.6,610500,865000,15430000,38,308600,386100,49390000,592300,hot
RHS300x150x6,300,150,6,12,6,40.5,879,5163,3442,1721,60740000,108.5,404900,499600,20800000,63.5,277300,309500,49880000,478600,hot
RHS300x150x6.3,300,150,6.3,15.8,9.4,42.2,873,5375,3583,1792,62660000,108,417700,517400,21500000,63.2,286700,320900,52340000,498900,hot
RHS300x150x8,300,150,8,20,12,52.8,866,6724,4483,2241,76840000,106.9,512200,640300,26230000,62.5,349700,396400,64910000,611500,hot
RHS300x150x10,300,150,10,25,15,64.8,857,8257,5504,2752,92090000,105.6,614000,775900,31250000,61.5,416700,479200,78790000,732800,hot
