,h,b,t,ro,ri,m,P,A,"Av,z","Av,y",Iy,iy,"Wel,y","Wpl,y",Iz,iz,"Wel,z","Wpl,z",IT,WT,manufacture
,[mm],[mm],[mm],[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm2],[mm4],[mm],[mm3],[mm3],[mm4],[mm],[mm3],[mm3],[mm4],[mm3],
RHS350x250x10,350,250,10,15,10,90.2,1174,11493,6704,4789,201000000,132.3,1149000,1375000,119400000,101.9,955000,1091000,233500000,1525000,cold
RHS350x250x12.5,350,250,12.5,18.8,12.5,111.5,1168,14207,8288,5920,244200000,131.1,1395000,1685000,144400000,100.8,1156000,1334000,285300000,1842000,cold
RHS350x250x14.2,350,250,14.2,21.3,14.2,125.7,1163,16017,9343,6674,272000000,130.3,1554000,1887000,160500000,100.1,1284000,1492000,318900000,2044000,cold
RHS350x250x16,350,250,16,24,16,140.5,1159,17901,10442,7459,300100000,129.5,1715000,2095000,176500000,99.3,1412000,1655000,353300000,2246000,cold
RHS400x200x8,400,200,8,12,8,72.8,1179,9275,6184,3092,195600000,145.2,978100,1203000,66600000,84.7,666000,742800,157300000,1135000,cold
RHS400x200x10,400,200,10,15,10,90.2,1174,11493,7662,3831,239100000,144.3,1196000,1480000,80840000,83.9,808400,910900,192600000,1376000,cold
RHS400x200x12.5,400,200,12.5,18.8,12.5,111.5,1168,14207,9472,4736,290600000,143,1453000,1813000,97380000,82.8,973800,1111000,234400000,1656000,cold
RHS400x200x14.2,400,200,14.2,21.3,14.2,125.7,1163,16017,10678,5339,323800000,142.2,1619000,2032000,107800000,82.1,1078000,1242000,261400000,1834000,cold
RHS400x200x16,400,200,16,24,16,140.5,1159,17901,11934,5967,357400000,141.3,1787000,2256000,118200000,81.3,1182000,1374000,288700000,2010000,cold
RHS450x250x8,450,250,8,12,8,85.4,1379,10875,6991,3884,300800000,166.3,1337000,1622000,121400000,105.7,971300,1081000,270800000,1629000,cold
RHS450x250x10,450,250,10,15,10,105.9,1374,13493,8674,4819,368900000,165.4,1640000,2000000,148200000,104.8,1185000,1331000,332800000,1986000,cold
RHS450x250x12.5,450,250,12.5,18.8,12.5,131.2,1368,16707,10740,5967,450300000,164.2,2001000,2458000,179700000,103.7,1438000,1631000,407200000,2406000,cold
RHS450x250x14.2,450,250,14.2,21.3,14.2,148,1363,18857,12122,6735,503100000,163.3,2236000,2759000,200000000,103,1600000,1827000,455800000,2675000,cold
RHS450x250x16,450,250,16,24,16,165.6,1359,21101,13565,7536,557100000,162.5,2476000,3070000,220400000,102.2,1763000,2029000,505500000,2947000,cold
RHS500x300x10,500,300,10,15,10,121.6,1574,15493,9683,5810,537600000,186.3,2150000,2595000,244400000,125.6,1629000,1826000,524500000,2696000,cold
RHS500x300x12.5,500,300,12.5,18.8,12.5,150.8,1568,19207,12005,7203,658100000,185.1,2633000,3196000,297800000,124.5,1985000,2244000,643900000,3281000,cold
RHS500x300x14.2,500,300,14.2,21.3,14.2,170.3,1563,21697,13561,8136,737000000,184.3,2948000,3593000,332400000,123.8,2216000,2519000,722400000,3660000,cold
RHS500x300x16,500,300,16,24,16,190.8,1559,24301,15188,9113,817800000,183.4,3271000,4005000,367700000,123,2451000,2804000,803300000,4044000,cold
RHS500x300x20,500,300,20,30,20,235.3,1548,29971,18732,11239,987800000,181.5,3951000,4885000,440800000,121.3,2939000,3408000,974500000,4842000,cold
RHS40x20x2,40,20,2,4,2,1.68,113,214,142,71,40500,13.8,2025,2614,13430,7.9,1343,1597,34530,2355,hot
RHS40x20x2.5,40,20,2.5,5,2.5,2.03,111,259,173,86,46940,13.5,2347,3092,15370,7.7,1537,1878,40610,2718,hot
RHS40x20x3,40,20,3,6,3,2.36,110,301,201,100,52080,13.2,2604,3504,16850,7.5,1685,2115,45670,3005,hot
RHS50x30x2,50,30,2,4,2,2.31,153,294,184,110,95360,18,3815,4742,42930,12.1,2862,3325,97670,4835,hot
