Unnamed: 0,h,b,t,ro,ri,m,P,A,"Av,z","Av,y",Iy,iy,"Wel,y","Wpl,y",Iz,iz,"Wel,z","Wpl,z",IT,WT
,[mm],[mm],[mm],[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm2],[mm4],[mm],[mm3],[mm3],[mm4],[mm],[mm3],[mm3],[mm4],[mm3]
RHS50x30x2.6,50,30,2.6,3.9,2.6,3,153,382,239,143,121800,17.9,4873,6118,53750,11.9,3584,4246,121000,5897
RHS50x30x3.2,50,30,3.2,4.8,3.2,3.61,152,460,288,173,142100,17.6,5683,7246,61970,11.6,4132,5001,141900,6796
RHS50x30x4,50,30,4,6,4,4.39,150,559,349,210,164900,17.2,6596,8593,70840,11.3,4722,5885,165900,7771
RHS50x30x5,50,30,5,7.5,5,5.28,147,673,421,252,187100,16.7,7486,10030,78880,10.8,5258,6797,189700,8667
RHS60x40x2.6,60,40,2.6,3.9,2.6,3.81,193,486,291,194,235800,22,7862,9649,124400,16,6220,7257,259300,10040
RHS60x40x3.2,60,40,3.2,4.8,3.2,4.62,192,588,353,235,278200,21.8,9275,11520,145700,15.7,7287,8639,308000,11740
RHS60x40x4,60,40,4,6,4,5.64,190,719,431,288,328300,21.4,10940,13830,170300,15.4,8517,10320,366600,13710
RHS60x40x5,60,40,5,7.5,5,6.85,187,873,524,349,380900,20.9,12700,16390,195300,15,9767,12160,429800,15710
RHS60x40x6.3,60,40,6.3,9.4,6.3,8.31,184,1059,635,423,433900,20.2,14460,19230,219200,14.4,10960,14150,495500,17640
RHS80x40x3.2,80,40,3.2,4.8,3.2,5.62,232,716,477,239,571800,28.3,14300,18040,189200,16.3,9459,10990,461900,16080
RHS80x40x4,80,40,4,6,4,6.9,230,879,586,293,682000,27.9,17050,21820,222400,15.9,11120,13200,551900,18900
RHS80x40x5,80,40,5,7.5,5,8.42,227,1073,715,358,802800,27.4,20070,26130,257000,15.5,12850,15660,650500,21850
RHS80x40x6.3,80,40,6.3,9.4,6.3,10.3,224,1311,874,437,932800,26.7,23320,31080,291600,14.9,14580,18400,756300,24840
RHS80x40x8,80,40,8,12,8,12.5,219,1595,1064,532,1060000,25.8,26500,36470,321100,14.2,16050,21200,857600,27450
RHS90x50x3.2,90,50,3.2,4.8,3.2,6.63,272,844,543,301,891300,32.5,19810,24560,352700,20.4,14110,16230,808700,23580
RHS90x50x4,90,50,4,6,4,8.15,270,1039,668,371,1071000,32.1,23800,29850,419500,20.1,16780,19630,975200,28020
RHS90x50x5,90,50,5,7.5,5,9.99,267,1273,818,455,1273000,31.6,28280,35990,492100,19.7,19690,23530,1164000,32860
RHS90x50x6.3,90,50,6.3,9.4,6.3,12.3,264,1563,1005,558,1499000,31,33300,43220,569900,19.1,22800,28020,1377000,38060
RHS90x50x8,90,50,8,12,8,15,259,1915,1231,684,1736000,30.1,38570,51410,645800,18.4,25830,32940,1603000,43210
RHS100x50x3.2,100,50,3.2,4.8,3.2,7.13,292,908,605,303,1159000,35.7,23170,28940,387800,20.7,15510,17730,934500,26380
RHS100x50x4,100,50,4,6,4,8.78,290,1119,746,373,1396000,35.3,27920,35240,461900,20.3,18480,21470,1128000,31400
RHS100x50x5,100,50,5,7.5,5,10.8,287,1373,915,458,1665000,34.8,33300,42610,543000,19.9,21720,25780,1347000,36910
RHS100x50x6.3,100,50,6.3,9.4,6.3,13.3,284,1689,1126,563,1971000,34.2,39420,51350,630500,19.3,25220,30770,1597000,42890
RHS100x50x8,100,50,8,12,8,16.3,279,2075,1384,692,2299000,33.3,45980,61380,717200,18.6,28690,36300,1864000,48890
RHS100x60x3.2,100,60,3.2,4.8,3.2,7.63,312,972,608,365,1309000,36.7,26170,32040,588300,24.6,19610,22430,1285000,32360
RHS100x60x4,100,60,4,6,4,9.41,310,1199,749,450,1580000,36.3,31610,39080,705200,24.3,23510,27270,1559000,38740
RHS100x60x5,100,60,5,7.5,5,11.6,307,1473,921,552,1891000,35.8,37820,47360,835900,23.8,27860,32890,1875000,45860
RHS100x60x6.3,100,60,6.3,9.4,6.3,14.2,304,1815,1134,680,2248000,35.2,44960,57250,981500,23.3,32720,39530,2244000,53810
RHS100x60x8,100,60,8,12,8,17.5,299,2235,1397,838,2638000,34.4,52770,68740,1133000,22.5,37780,47080,2654000,62170
RHS120x60x4,120,60,4,6,4,10.7,350,1359,906,453,2487000,42.8,41460,51870,830900,24.7,27700,31750,2007000,47100
RHS120x60x5,120,60,5,7.5,5,13.1,347,1673,1115,558,2992000,42.3,49870,63090,987600,24.3,32920,38390,2418000,55950
RHS120x60x6.3,120,60,6.3,9.4,6.3,16.2,344,2067,1378,689,3583000,41.6,59710,76660,1164000,23.7,38800,46300,2900000,65940
RHS120x60x8,120,60,8,12,8,20.1,339,2555,1704,852,4247000,40.8,70790,92700,1351000,23,45050,55400,3443000,76640
RHS120x60x10,120,60,10,15,10,24.3,334,3093,2062,1031,4881000,39.7,81360,109200,1515000,22.1,50510,64380,3957000,86130
RHS120x80x4,120,80,4,6,4,11.9,390,1519,911,608,3026000,44.6,50430,61150,1607000,32.5,40180,46140,3304000,64980
