Unnamed: 0,h,b,t,ro,ri,m,P,A,"Av,z","Av,y",Iy,iy,"Wel,y","Wpl,y",Iz,iz,"Wel,z","Wpl,z",IT,WT
,[mm],[mm],[mm],[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm2],[mm4],[mm],[mm3],[mm3],[mm4],[mm],[mm3],[mm3],[mm4],[mm3]
RHS300x150x16,300.0,150.0,16.0,48.0,32.0,96.4,818.0,12277.0,8185.0,4092.0,123900000.0,100.4,825800.0,1092000.0,41740000.0,58.3,556600.0,673000.0,113300000.0,1015000.0
RHS300x200x6,300.0,200.0,6.0,12.0,6.0,45.2,979.0,5763.0,3458.0,2305.0,73700000.0,113.1,491300.0,587800.0,39620000.0,82.9,396200.0,446100.0,81150000.0,651200.0
RHS300x200x6.3,300.0,200.0,6.3,15.8,9.4,47.1,973.0,6005.0,3603.0,2402.0,76240000.0,112.7,508300.0,609900.0,41040000.0,82.7,410400.0,463200.0,85240000.0,679800.0
RHS300x200x8,300.0,200.0,8.0,20.0,12.0,59.1,966.0,7524.0,4515.0,3010.0,93890000.0,111.7,626000.0,757100.0,50420000.0,81.9,504200.0,574500.0,106300000.0,838400.0
RHS300x200x10,300.0,200.0,10.0,25.0,15.0,72.7,957.0,9257.0,5554.0,3703.0,113100000.0,110.5,754200.0,920900.0,60580000.0,80.9,605800.0,698100.0,129900000.0,1012000.0
RHS300x200x12,300.0,200.0,12.0,36.0,24.0,84.8,938.0,10806.0,6484.0,4322.0,127900000.0,108.8,852500.0,1056000.0,68540000.0,79.6,685400.0,801200.0,152400000.0,1167000.0
RHS300x200x12.5,300.0,200.0,12.5,37.5,25.0,88.0,936.0,11204.0,6723.0,4482.0,131800000.00000001,108.5,878600.0,1091000.0,70600000.0,79.4,706000.0,827900.0,157700000.0,1204000.0
RHS300x200x16,300.0,200.0,16.0,48.0,32.0,108.9,918.0,13877.0,8326.0,5551.0,156200000.0,106.1,1041000.0,1319000.0,83400000.0,77.5,834000.0,1000000.0,192200000.0,1442000.0
RHS350x250x6,350.0,250.0,6.0,12.0,6.0,54.7,1179.0,6963.0,4062.0,2901.0,124600000.0,133.8,711800.0,842600.0,74580000.0,103.5,596700.0,670800.0,145500000.0,966800.0
RHS350x250x6.3,350.0,250.0,6.3,15.8,9.4,57.0,1173.0,7265.0,4238.0,3027.0,129199999.99999999,133.4,738500.0,876200.0,77440000.0,103.2,619500.0,698000.0,152900000.0,1010000.0
RHS350x250x8,350.0,250.0,8.0,20.0,12.0,71.6,1166.0,9124.0,5322.0,3802.0,160000000.0,132.4,914400.0,1092000.0,95730000.0,102.4,765800.0,869400.0,191400000.0,1253000.0
RHS350x250x10,350.0,250.0,10.0,25.0,15.0,88.4,1157.0,11257.0,6566.0,4690.0,194100000.0,131.3,1109000.0,1335000.0,115900000.0,101.5,927100.0,1062000.0,235000000.0,1522000.0
RHS350x250x12,350.0,250.0,12.0,36.0,24.0,103.7,1138.0,13206.0,7703.0,5502.0,222000000.0,129.6,1268000.0,1544000.0,132600000.0,100.2,1061000.0,1229000.0,277500000.0,1770000.0
