,D,t,m,P,A,Av,I,i,Wel,Wpl,IT,WT
,[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm4],[mm],[mm3],[mm3],[mm4],[mm3]
CHS177.8x5,177.8,5,21.3,559,2714,1728,10140000,61.1,114100,149300,20280000,228100
CHS177.8x6,177.8,6,25.4,559,3238,2062,11960000,60.8,134600,177200,23920000,269100
CHS177.8x6.3,177.8,6.3,26.6,559,3394,2161,12500000,60.7,140600,185400,24990000,281100
CHS177.8x8,177.8,8,33.5,559,4268,2717,15410000,60.1,173400,230800,30830000,346800
CHS177.8x10,177.8,10,41.4,559,5272,3356,18620000,59.4,209400,281900,37240000,418900
CHS177.8x12,177.8,12,49.1,559,6251,3979,21590000,58.8,242900,330500,43180000,485700
CHS177.8x12.5,177.8,12.5,51,559,6491,4132,22300000,58.6,250800,342200,44600000,501600
CHS193.7x4,193.7,4,18.7,609,2384,1518,10730000,67.1,110800,144000,21460000,221500
CHS193.7x5,193.7,5,23.3,609,2964,1887,13200000,66.7,136300,178100,26400000,272600
CHS193.7x6,193.7,6,27.8,609,3538,2252,15600000,66.4,161000,211500,31190000,322100
CHS193.7x6.3,193.7,6.3,29.1,609,3709,2361,16300000,66.3,168300,221300,32600000,336600
CHS193.7x8,193.7,8,36.6,609,4667,2971,20160000,65.7,208100,276000,40310000,416200
CHS193.7x10,193.7,10,45.3,609,5771,3674,24420000,65,252100,337800,48830000,504200
CHS193.7x12,193.7,12,53.8,609,6850,4361,28390000,64.4,293200,396800,56780000,586300
CHS193.7x12.5,193.7,12.5,55.9,609,7116,4530,29340000,64.2,303000,411100,58690000,605900
CHS219.1x4,219.1,4,21.2,688,2703,1721,15640000,76.1,142800,185100,31280000,285500
CHS219.1x5,219.1,5,26.4,688,3363,2141,19280000,75.7,176000,229200,38560000,352000
CHS219.1x6,219.1,6,31.5,688,4017,2557,22820000,75.4,208300,272500,45640000,416600
CHS219.1x6.3,219.1,6.3,33.1,688,4212,2681,23860000,75.3,217800,285400,47720000,435600
CHS219.1x8,219.1,8,41.6,688,5306,3378,29600000,74.7,270200,356700,59190000,540300
CHS219.1x10,219.1,10,51.6,688,6569,4182,35980000,74,328500,437600,71970000,656900
CHS219.1x12,219.1,12,61.3,688,7807,4970,42000000,73.3,383400,515300,84000000,766800
CHS219.1x12.5,219.1,12.5,63.7,688,8113,5165,43450000,73.2,396600,534200,86890000,793200
CHS244.5x5,244.5,5,29.5,768,3762,2395,26990000,84.7,220700,286800,53970000,441500
CHS244.5x6,244.5,6,35.3,768,4496,2862,31990000,84.3,261600,341400,63970000,523300
CHS244.5x6.3,244.5,6.3,37,768,4714,3001,33460000,84.2,273700,357500,66920000,547400
CHS244.5x8,244.5,8,46.7,768,5944,3784,41600000,83.7,340300,447600,83210000,680600
CHS244.5x10,244.5,10,57.8,768,7367,4690,50730000,83,415000,550200,101500000,830000
CHS244.5x12,244.5,12,68.8,768,8765,5580,59380000,82.3,485800,649300,118800000,971500
CHS244.5x12.5,244.5,12.5,71.5,768,9111,5800,61470000,82.1,502900,673500,122900000,1006000
CHS273x5,273,5,33,858,4210,2680,37810000,94.8,277000,359200,75620000,554000
CHS273x6,273,6,39.5,858,5033,3204,44870000,94.4,328700,427800,89740000,657400
CHS273x6.3,273,6.3,41.4,858,5279,3360,46960000,94.3,344000,448200,93920000,688000
CHS273x8,273,8,52.3,858,6660,4240,58520000,93.7,428700,562000,117000000,857400
CHS273x10,273,10,64.9,858,8262,5260,71540000,93.1,524100,692000,143100000,1048000
CHS273x12,273,12,77.2,858,9839,6264,83960000,92.4,615100,818000,167900000,1230000
CHS273x12.5,273,12.5,80.3,858,10230,6512,86970000,92.2,637200,848900,173900000,1274000
CHS323.9x5,323.9,5,39.3,1018,5009,3189,63690000,112.8,393300,508500,127400000,786600
CHS323.9x6,323.9,6,47,1018,5992,3815,75720000,112.4,467600,606400,151400000,935200
CHS323.9x6.3,323.9,6.3,49.3,1018,6286,4002,79290000,112.3,489600,635600,158600000,979200
CHS323.9x8,323.9,8,62.3,1018,7939,5054,99100000,111.7,611900,798500,198200000,1224000
CHS323.9x10,323.9,10,77.4,1018,9861,6278,121600000,111,750700,985700,243200000,1501000
CHS323.9x12,323.9,12,92.3,1018,11758,7486,143200000,110.4,884200,1168000,286400000,1768000
CHS323.9x12.5,323.9,12.5,96,1018,12229,7785,148500000,110.2,916700,1213000,296900000,1833000
CHS355.6x5,355.6,5,43.2,1117,5507,3506,84640000,124,476000,614600,169300000,952000
CHS355.6x6,355.6,6,51.7,1117,6590,4195,100700000,123.6,566400,733400,201400000,1133000
CHS355.6x6.3,355.6,6.3,54.3,1117,6913,4401,105500000,123.5,593200,768700,210900000,1186000
CHS355.6x8,355.6,8,68.6,1117,8736,5562,132000000,122.9,742500,966800,264000000,1485000
CHS355.6x10,355.6,10,85.2,1117,10857,6912,162200000,122.2,912500,1195000,324500000,1825000
CHS355.6x12,355.6,12,101.7,1117,12953,8246,191400000,121.6,1076000,1417000,382800000,2153000
CHS355.6x12.5,355.6,12.5,105.8,1117,13474,8578,198500000,121.4,1117000,1472000,397000000,2233000
CHS355.6x16,355.6,16,134,1117,17070,10867,246600000,120.2,1387000,1847000,493300000,2774000
CHS355.6x20,355.6,20,165.5,1117,21086,13424,297900000,118.9,1676000,2255000,595800000,3351000
CHS406.4x6,406.4,6,59.2,1277,7547,4805,151300000,141.6,744500,962000,302600000,1489000
CHS406.4x6.3,406.4,6.3,62.2,1277,7919,5041,158500000,141.5,780000,1009000,317000000,1560000
CHS406.4x8,406.4,8,78.6,1277,10013,6374,198700000,140.9,978000,1270000,397500000,1956000
CHS406.4x10,406.4,10,97.8,1277,12453,7928,244800000,140.2,1205000,1572000,489500000,2409000
CHS406.4x12,406.4,12,116.7,1277,14869,9466,289400000,139.5,1424000,1867000,578700000,2848000
CHS406.4x12.5,406.4,12.5,121.4,1277,15468,9848,300300000,139.3,1478000,1940000,600600000,2956000
CHS406.4x16,406.4,16,154,1277,19624,12493,374500000,138.1,1843000,2440000,749000000,3686000
CHS406.4x20,406.4,20,190.6,1277,24278,15456,454300000,136.8,2236000,2989000,908600000,4472000
CHS406.4x25,406.4,25,235.1,1277,29955,19070,547000000,135.1,2692000,3642000,1094000000,5384000
CHS457x6,457,6,66.7,1436,8501,5412,216200000,159.5,946100,1220000,432400000,1892000
CHS457x6.3,457,6.3,70,1436,8920,5679,226500000,159.4,991400,1280000,453100000,1983000
CHS457x8,457,8,88.6,1436,11285,7184,284500000,158.8,1245000,1613000,568900000,2490000
CHS457x10,457,10,110.2,1436,14043,8940,350900000,158.1,1536000,1998000,701800000,3071000
CHS457x12,457,12,131.7,1436,16776,10680,415600000,157.4,1819000,2377000,831100000,3637000
CHS457x12.5,457,12.5,137,1436,17455,11112,431400000,157.2,1888000,2470000,862900000,3776000
CHS457x16,457,16,174,1436,22167,14112,539600000,156,2361000,3113000,1079000000,4723000
CHS457x20,457,20,215.5,1436,27458,17480,656800000,154.7,2874000,3822000,1314000000,5749000
CHS457x25,457,25,266.3,1436,33929,21600,794200000,153,3475000,4671000,1588000000,6951000
CHS457x30,457,30,315.9,1436,40244,25620,921700000,151.3,4034000,5479000,1843000000,8068000
CHS508x6,508,6,74.3,1596,9462,6024,298100000,177.5,1174000,1512000,596200000,2347000
CHS508x6.3,508,6.3,77.9,1596,9930,6321,312500000,177.4,1230000,1586000,624900000,2460000
CHS508x8,508,8,98.6,1596,12566,8000,392800000,176.8,1546000,2000000,785600000,3093000
CHS508x10,508,10,122.8,1596,15645,9960,485200000,176.1,1910000,2480000,970400000,3820000
CHS508x12,508,12,146.8,1596,18699,11904,575400000,175.4,2265000,2953000,1151000000,4530000
CHS508x12.5,508,12.5,152.7,1596,19458,12388,597600000,175.2,2353000,3070000,1195000000,4705000
CHS508x16,508,16,194.1,1596,24731,15744,749100000,174,2949000,3874000,1498000000,5898000
CHS508x20,508,20,240.7,1596,30662,19520,914300000,172.7,3600000,4766000,1829000000,7199000
CHS508x25,508,25,297.8,1596,37935,24150,1109000000,171,4367000,5837000,2218000000,8734000
CHS508x30,508,30,353.6,1596,45050,28680,1292000000,169.3,5086000,6864000,2583000000,10170000
CHS610x6,610,6,89.4,1916,11385,7248,519200000,213.6,1702000,2189000,1038000000,3405000
CHS610x6.3,610,6.3,93.8,1916,11948,7607,544400000,213.5,1785000,2296000,1089000000,3570000
CHS610x8,610,8,118.8,1916,15130,9632,685500000,212.9,2248000,2899000,1371000000,4495000
CHS610x10,610,10,148,1916,18850,12000,848500000,212.2,2782000,3600000,1697000000,5564000
CHS610x12,610,12,177,1916,22544,14352,1008000000,211.5,3305000,4292000,2016000000,6611000
CHS610x12.5,610,12.5,184.2,1916,23464,14938,1048000000,211.3,3435000,4463000,2095000000,6869000
CHS610x16,610,16,234.4,1916,29858,19008,1318000000,210.1,4321000,5647000,2636000000,8641000
CHS610x20,610,20,291,1916,37071,23600,1615000000,208.7,5295000,6965000,3230000000,10590000
CHS610x25,610,25,360.7,1916,45946,29250,1969000000,207,6456000,8561000,3938000000,12910000
CHS610x30,610,30,429.1,1916,54664,34800,2305000000,205.3,7557000,10100000,4610000000,15110000
CHS711x6,711,6,104.3,2234,13289,8460,825700000,249.3,2323000,2982000,1651000000,4645000
